event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,basin_id,sub_basin_area_sq_km,upstream_area_sq_km,distance_to_outlet_km,basin_order,nearest_river_distance_km,river_average_discharge_cms,river_upstream_area_sq_km,river_strahler_order,local_elevation_m,local_relief_m,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
episode-51bdeaae0771ff876dbb,Government of Nepal BIPAD Portal,2014,7,29,Central Region,Rasuwa,Gosaikunda,FLOOD,1,0,0,0,0,0,0,0.0,False,28.1755,85.46091,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-80a5245d13a11bea9177,Government of Nepal BIPAD Portal,2014,7,30,Central Region,Kathmandu,Kageshwori Manahora,FLOOD,0,1,0,0,0,0,0,0.0,False,27.69912,85.37856,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-2a83ec18a3a526e149c7,Government of Nepal BIPAD Portal,2014,8,1,Central Region,Ramechhap,Gokulganga,FLOOD,0,0,0,0,0,0,0,0.0,False,27.53685,86.18811,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-d15aeef9784761d478f7,Government of Nepal BIPAD Portal,2014,8,5,Central Region,Dolakha,Bigu,FLOOD,0,0,0,0,0,0,0,0.0,False,27.82349,86.22218,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-7b78a27e339f31ff24e4,Government of Nepal BIPAD Portal,2014,8,13,Mid-Western Region,Banke,Rapti Sonari,FLOOD,15,5,2,0,2771,7992,0,0.0,False,28.09534,81.84765,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-636634e37d4ee6982ae4,Government of Nepal BIPAD Portal,2014,8,13,Mid-Western Region,Bardiya,Barbardiya,FLOOD,33,15,2,0,3859,13517,0,0.0,False,28.36918,81.41147,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-12509072330e41263f4c,Government of Nepal BIPAD Portal,2014,8,13,Eastern Region,Morang,Belbari,FLOOD,1,0,0,0,0,0,0,0.0,False,26.61037,87.46726,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-419913e74b261fae69b1,Government of Nepal BIPAD Portal,2014,8,14,Mid-Western Region,Dang,Ghorahi,FLOOD,14,4,2,0,521,374,0,0.0,False,27.9672,82.44665,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-70d0b09c488e115a7ca2,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Dhanusa,Dhanusadham,FLOOD,1,0,0,0,0,0,0,0.0,False,26.83206,86.05628,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-9e554e48ceab15e0165e,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Lalitpur,Konjyosom,FLOOD,1,0,0,0,0,0,0,0.0,False,27.54796,85.33968,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-b8a43f75739a667d3375,Government of Nepal BIPAD Portal,2014,8,14,Central Region,Rautahat,Brindaban,FLOOD,0,0,0,0,0,0,0,0.0,False,26.98914,85.33443,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-91670d424892c86732aa,Government of Nepal BIPAD Portal,2014,8,14,Eastern Region,Siraha,Golbazar,FLOOD,0,1,0,0,0,0,0,0.0,False,26.7425,86.3336,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-315a4ee4d9122fb5f0b4,Government of Nepal BIPAD Portal,2014,8,14,Mid-Western Region,Surkhet,Barahtal,FLOOD,34,91,26,0,1427,2439,0,0.0,False,28.65047,81.50876,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
episode-f13be1603a68639ccd1f,Government of Nepal BIPAD Portal,2014,8,14,Eastern Region,Udayapur,Rautamai,FLOOD,1,0,0,0,1,0,0,0.0,False,26.93279,86.66463,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True
