event_id,source,year,month,day,region,district,municipality,cause,deaths,missing,injured,people_affected,houses_destroyed,houses_affected,evacuated,roads_damaged_km,transport_affected,latitude,longitude,district_area_sq_km,elevation_m,terrain_relief_m,households_2011,population_2011,population_density_2011,rainfall_1d_mm,rainfall_3d_mm,rainfall_7d_mm,rainfall_30d_mm,rainy_days_7d,rainfall_7d_anomaly,casualty_label_known,housing_label_known,transport_label_known,severe_label_known
desinventar-939147dc-1d23-44eb-a9be-911422be97cb,UNDRR DesInventar Nepal,2011,7,31,Mid-Western Region,Bardiya,BHIMMAPUR,RAIN,0,0,0,378,0,70,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-47e2a293-7af3-494f-8608-2b288f59c4f2,UNDRR DesInventar Nepal,2011,7,31,Mid-Western Region,Bardiya,RAJAPUR,HEAVY RAINS,0,0,0,270,0,50,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-1b082554-384c-4ef6-938d-29589da7c909,UNDRR DesInventar Nepal,2011,7,31,Central Region,Mahotari,Raghunathpur,RAIN,0,0,0,1620,0,300,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-79c3151a-7665-415a-9617-b5c7e3741172,UNDRR DesInventar Nepal,2011,8,1,Mid-Western Region,Banke,HOLIA,RAIN,0,0,0,615,0,114,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-26e86361-acba-41ad-ac40-a966d71ccbbb,UNDRR DesInventar Nepal,2011,8,3,Eastern Region,Jhapa,GHERABARI,RAIN,0,0,0,59,11,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-caff4487-4f21-4423-be06-a4907bfa9fb6,UNDRR DesInventar Nepal,2011,8,5,Mid-Western Region,Rukum,GOTAME_KOT,HEAVY RAINS,0,0,0,162,0,30,0,0.0,True,,,,,,,,,,,,,,,True,True,True,True
desinventar-e2e4c7df-d7bf-4763-8086-12674237244b,UNDRR DesInventar Nepal,2011,8,6,Far Western Region,Kanchanpur,SANKARPUR,RAIN,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-eb0dfe5c-a450-4463-90a9-aa87334a3676,UNDRR DesInventar Nepal,2011,8,6,Central Region,Makwanpur,MANAHARI,HEAVY RAINS,0,0,0,32,0,6,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-f575da0e-1026-422f-95a4-e67e8bc3a5f3,UNDRR DesInventar Nepal,2011,8,16,Far Western Region,Kanchanpur,MAHENDRA NAGAR N.P.,HEAVY RAINS,0,0,0,405,11,64,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-ab2db000-fcbc-442a-b7e3-97fef290e661,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kailali,BHAJANI,RAIN,1,0,0,540,0,100,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-487970c9-8c28-4684-ae75-99b6d25a1699,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kailali,TIKAPUR MUNICIPALITY,RAIN,0,0,0,32,0,6,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-78eeb2da-3b1c-4c34-a7b8-624fda50e929,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kanchanpur,MAHENDRA NAGAR N.P.,RAIN,0,0,0,810,0,150,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-73c30dfc-1c3f-45f0-a348-abfb4f6cae9a,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kanchanpur,DODHAR,RAIN,0,0,0,318,0,59,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-ab00f381-660e-4936-9558-1bdc75d2ee34,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kanchanpur,CHANDANI,RAIN,0,0,0,32,0,6,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-8558ccd6-ba94-4684-9cbc-77e9a301be52,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kanchanpur,DEKHATBHULI,RAIN,0,0,0,21,0,4,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-7858834b-2e96-4ff9-b871-bc13a5f8a9a5,UNDRR DesInventar Nepal,2010,7,10,Central Region,Mahotari,Bhrampura,HEAVY RAINS,0,0,0,0,0,0,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
desinventar-e8b5c4e8-55fc-4fa9-8660-80febceda97f,UNDRR DesInventar Nepal,2011,8,17,Far Western Region,Kanchanpur,SHREEPUR,RAIN,0,0,0,43,0,8,0,0.0,False,,,,,,,,,,,,,,,True,True,True,True
